en_dialogue,Timeline,kannada_dialogue
I am their father. That's my job.,"00:19:32,089 --> 00:19:34,007",ನಾನು ಅವರ ತಂದೆ. ಅದು ನನ್ನ ಕೆಲಸ.
This is not a unit. This is family.,"00:19:35,467 --> 00:19:38,262",ಇದು ಒಂದು ಘಟಕವಲ್ಲ. ಇದು ಕುಟುಂಬ.
I thought we were out of them.,"00:19:49,898 --> 00:19:51,608",ನಾವು ಅವರಿಂದ ಹೊರಗುಳಿದಿದ್ದೇವೆ ಎಂದು ನಾನು ಭಾವಿಸಿದೆ.
Hey buddy. How's it going? - Spiders.,"00:20:00,742 --> 00:20:02,578",ಹೇ ಬಡ್ಡಿ. ಅದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ? - ಜೇಡಗಳು.
Your face is mine.,"00:20:03,328 --> 00:20:04,838",ನಿಮ್ಮ ಮುಖ ನನ್ನದು.
I'm here.,"00:20:04,872 --> 00:20:06,382",ನಾನು ಇಲ್ಲಿದ್ದೇನೆ.
Only for avatars. Go around!,"00:20:06,498 --> 00:20:08,375",ಅವತಾರಗಳಿಗೆ ಮಾತ್ರ. ಸುತ್ತಲೂ ಹೋಗಿ!
Sorry.,"00:20:08,834 --> 00:20:10,293",ಕ್ಷಮಿಸಿ.
Yes. Those blue stripes they don't make you bigger bro.,"00:20:10,294 --> 00:20:12,754",ಹೌದು. ಆ ನೀಲಿ ಪಟ್ಟೆಗಳು ಅವರು ನಿಮ್ಮನ್ನು ದೊಡ್ಡದಾಗಿಸುವುದಿಲ್ಲ.
"Yes, I can still beat you up.","00:20:13,338 --> 00:20:14,882","ಹೌದು, ನಾನು ಇನ್ನೂ ನಿಮ್ಮನ್ನು ಸೋಲಿಸಬಹುದು."
What a day. - Long.,"00:20:18,719 --> 00:20:20,429",ಏನು ದಿನ. - ಉದ್ದ.
"Really hilarious, folks. But you know what's really horrible?","00:20:23,599 --> 00:20:26,518","ನಿಜವಾಗಿಯೂ ಉಲ್ಲಾಸ, ಜನರಾಗಿದ್ದರು. ಆದರೆ ನಿಜವಾಗಿಯೂ ಭಯಾನಕ ಯಾವುದು ಎಂದು ನಿಮಗೆ ತಿಳಿದಿದೆಯೇ?"
"You can breathe earth air for hours,","00:20:26,553 --> 00:20:28,312","ನೀವು ಉಸಿರಾಡಬಹುದು ಗಂಟೆಗಳ ಕಾಲ ಭೂಮಿಯ ಗಾಳಿ,"
and I can inhale yours air for ten seconds.,"00:20:28,687 --> 00:20:31,023",ಮತ್ತು ನಾನು ನಿಮ್ಮದನ್ನು ಉಸಿರಾಡಬಲ್ಲೆ ಹತ್ತು ಸೆಕೆಂಡುಗಳ ಕಾಲ ಗಾಳಿ.
"Yes, Monkey, that's really awful.","00:20:31,064 --> 00:20:33,317","ಹೌದು, ಮಂಕಿ, ಅದು ನಿಜವಾಗಿಯೂ ಭೀಕರವಾಗಿದೆ."
For you.,"00:20:33,734 --> 00:20:35,244",ನಿಮಗಾಗಿ.
"Bye, Max. - Hi, kids.","00:20:41,700 --> 00:20:43,194","ಬೈ, ಗರಿಷ್ಠ. - ಹಾಯ್, ಮಕ್ಕಳು."
"Bye. What's up, Max?","00:20:43,195 --> 00:20:44,654","ಬೈ. ಏನಿದೆ, ಗರಿಷ್ಠ?"
"What's up, Norm?","00:20:44,655 --> 00:20:46,165","ಏನಿದೆ, ನಾರ್ಮ್?"
Hi Mom.,"00:20:51,460 --> 00:20:53,003",ಹಾಯ್ ತಾಯಿ.
Maybe I'm just going crazy here but I see actual proof,"00:21:03,055 --> 00:21:07,142",ಬಹುಶಃ ನಾನು ಇಲ್ಲಿ ಹುಚ್ಚನಾಗಿದ್ದೇನೆ ಆದರೆ ನಾನು ನಿಜವಾದ ಪುರಾವೆಗಳನ್ನು ನೋಡುತ್ತೇನೆ
systematic response on a global level.,"00:21:07,476 --> 00:21:11,522",ವ್ಯವಸ್ಥಿತ ಪ್ರತಿಕ್ರಿಯೆ ಜಾಗತಿಕ ಮಟ್ಟದಲ್ಲಿ.
Can not...,"00:21:12,022 --> 00:21:13,532",ಸಾಧ್ಯವಿಲ್ಲ ...
"I will not use the term ""intelligence."" It is...","00:21:14,274 --> 00:21:17,069","ನಾನು ""ಬುದ್ಧಿವಂತಿಕೆ"" ಎಂಬ ಪದವನ್ನು ಬಳಸುವುದಿಲ್ಲ. ಅದು ..."
"Perhaps ""awareness"" is a better word. 2 3 4 00:21:21,406 --> 00:21:26,537 It's like she's whole biosphere Pandora conscious",,
and capable of such cognitive reaction.,"00:21:26,954 --> 00:21:30,207",ಮತ್ತು ಅಂತಹ ಸಾಮರ್ಥ್ಯ ಅರಿವಿನ ಪ್ರತಿಕ್ರಿಯೆ.
"Shit, I can't say that.","00:21:32,334 --> 00:21:34,211","ಶಿಟ್, ನಾನು ಅದನ್ನು ಹೇಳಲಾರೆ."
He will crucify me.,"00:21:34,419 --> 00:21:35,929",ಅವನು ನನ್ನನ್ನು ಶಿಲುಬೆಗೇರಿಸುವನು.
I must say...,"00:21:36,088 --> 00:21:37,547",ನಾನು ಹೇಳಲೇಬೇಕು ...
Who do you think pumped her up?,"00:21:37,548 --> 00:21:40,474",ಅವಳನ್ನು ಯಾರು ಪಂಪ್ ಮಾಡಿದ್ದಾರೆಂದು ನೀವು ಭಾವಿಸುತ್ತೀರಿ?
I'm pretty sure it was Norm. -100%.,"00:21:40,509 --> 00:21:44,471",ಇದು ರೂ m ಿಯಾಗಿದೆ ಎಂದು ನನಗೆ ಬಹಳ ಖಚಿತವಾಗಿದೆ. -100%.
You two don't deserve to live. -No no. Think about that.,"00:21:44,513 --> 00:21:47,474",ನೀವಿಬ್ಬರು ಬದುಕಲು ಅರ್ಹರಲ್ಲ. -ಒ ಇಲ್ಲ. ಅದರ ಬಗ್ಗೆ ಯೋಚಿಸಿ.
He is the teacher's pet. He is always with her in the laboratory.,"00:21:47,516 --> 00:21:50,477",ಅವನು ಶಿಕ್ಷಕರ ಸಾಕು. ಅವನು ಯಾವಾಗಲೂ ಪ್ರಯೋಗಾಲಯದಲ್ಲಿ ಅವಳೊಂದಿಗೆ ಇರುತ್ತಾನೆ.
I would kill myself. I would drink acid.,"00:21:50,519 --> 00:21:54,481",ನಾನು ನನ್ನನ್ನು ಕೊಲ್ಲುತ್ತೇನೆ. ನಾನು ಆಮ್ಲವನ್ನು ಕುಡಿಯುತ್ತಿದ್ದೆ.
"Bro, you are right. He is on everyone recording. Brother, look how he's looking at her.","00:21:54,523 --> 00:21:59,486","ಬ್ರೋ, ನೀವು ಹೇಳಿದ್ದು ಸರಿ. ಅವನು ಎಲ್ಲರಲ್ಲಿದ್ದಾನೆ ರೆಕಾರ್ಡಿಂಗ್. ಸಹೋದರ, ಅವನು ಅವಳನ್ನು ಹೇಗೆ ನೋಡುತ್ತಿದ್ದಾನೆಂದು ನೋಡಿ."
"I mean, their two avatars they were in the forest alone...","00:22:00,529 --> 00:22:05,075","ನನ್ನ ಪ್ರಕಾರ, ಅವರ ಎರಡು ಅವತಾರಗಳು ಅವರು ಮಾತ್ರ ಕಾಡಿನಲ್ಲಿದ್ದರು ..."
Bullshit! - People.,"00:22:05,117 --> 00:22:07,417",ಬುಲ್ಶಿಟ್! - ಜನರು.
Sometimes it's not so great know who your father is.,"00:22:07,452 --> 00:22:10,497",ಕೆಲವೊಮ್ಮೆ ಅದು ಅಷ್ಟು ದೊಡ್ಡದಲ್ಲ ನಿಮ್ಮ ತಂದೆ ಯಾರೆಂದು ತಿಳಿಯಿರಿ.
No preference. I don't even remember him.,"00:22:15,502 --> 00:22:18,463",ಯಾವುದೇ ಆದ್ಯತೆ ಇಲ್ಲ. ನಾನು ಅವನನ್ನು ನೆನಪಿಲ್ಲ.
"No, Spider. - Mate.","00:22:18,505 --> 00:22:20,465","ಇಲ್ಲ, ಸ್ಪೈಡರ್. - ಸಂಗಾತಿ."
Spiders...,"00:22:20,507 --> 00:22:23,510",ಜೇಡಗಳು ...
You are not him.,"00:22:23,545 --> 00:22:26,513",ನೀವು ಅವನಲ್ಲ.
BRIDGEHEAD CITY,"00:22:34,479 --> 00:22:37,482",ಸೇತುವೆಯ ಹೆಡ್ ನಗರ
Go! Straight to the terminal.,"00:23:05,511 --> 00:23:08,472",ಹೋಗಿ! ನೇರವಾಗಿ ಟರ್ಮಿನಲ್‌ಗೆ.
Don't stop you!,"00:23:08,514 --> 00:23:11,517",ನಿಮ್ಮನ್ನು ತಡೆಯಬೇಡಿ!
Take off the masks.,"00:23:14,520 --> 00:23:16,480",ಮುಖವಾಡಗಳನ್ನು ತೆಗೆದುಹಾಕಿ.
"Sir, this is the general.","00:23:20,484 --> 00:23:23,487","ಸರ್, ಇದು ಸಾಮಾನ್ಯ."
General Ardmore.,"00:23:32,496 --> 00:23:34,006",ಜನರಲ್ ಅರ್ಡ್‌ಮೋರ್.
"I'm glad, Colonel. I've heard good things,","00:23:34,498 --> 00:23:38,460","ನನಗೆ ಸಂತೋಷವಾಗಿದೆ, ಕರ್ನಲ್. ನಾನು ಒಳ್ಳೆಯದನ್ನು ಕೇಳಿದ್ದೇನೆ,"
but a lot has changed since your last service here.,"00:23:38,502 --> 00:23:41,213",ಆದರೆ ಬಹಳಷ್ಟು ಬದಲಾಗಿದೆ ನಿಮ್ಮ ಕೊನೆಯ ಸೇವೆಯಿಂದ ಇಲ್ಲಿ.
Take a walk with me.,"00:23:41,248 --> 00:23:42,758",ನನ್ನೊಂದಿಗೆ ನಡೆಯಿರಿ.
The new operations center is here. It just worked.,"00:23:45,509 --> 00:23:49,471",ಹೊಸ ಕಾರ್ಯಾಚರಣೆ ಕೇಂದ್ರ ಇಲ್ಲಿದೆ. ಅದು ಕೆಲಸ ಮಾಡಿದೆ.
These editors can build a building in 6 days.,"00:23:49,513 --> 00:23:53,475",ಈ ಸಂಪಾದಕರು ಮಾಡಬಹುದು 6 ದಿನಗಳಲ್ಲಿ ಕಟ್ಟಡವನ್ನು ನಿರ್ಮಿಸಿ.
We have done more in a year than for the previous 30.,"00:23:53,517 --> 00:23:58,438",ನಾವು ಒಂದು ವರ್ಷದಲ್ಲಿ ಹೆಚ್ಚಿನದನ್ನು ಮಾಡಿದ್ದೇವೆ ಹಿಂದಿನ 30 ಗಿಂತ.
"We're not here to run a mine, Colonel.","00:23:58,522 --> 00:24:00,691",ಕರ್ನಲ್ ಎಂಬ ಗಣಿ ಓಡಿಸಲು ನಾವು ಇಲ್ಲಿಲ್ಲ.
As a planetary commander I have a more important mission.,"00:24:01,191 --> 00:24:04,528",ಗ್ರಹಗಳ ಕಮಾಂಡರ್ ಆಗಿ ನನಗೆ ಹೆಚ್ಚು ಮುಖ್ಯವಾದ ಮಿಷನ್ ಇದೆ.
The earth is dying.,"00:24:09,491 --> 00:24:11,458",ಭೂಮಿಯು ಸಾಯುತ್ತಿದೆ.
Our task is to subdue this wilderness.,"00:24:11,493 --> 00:24:15,462",ನಮ್ಮ ಕಾರ್ಯ ಈ ಅರಣ್ಯವನ್ನು ನಿಗ್ರಹಿಸಲು.
The goal is to make Pandora a new home for humanity.,"00:24:15,497 --> 00:24:20,502",ಪಂಡೋರಾವನ್ನು ಮಾಡುವುದು ಗುರಿಯಾಗಿದೆ ಮಾನವೀಯತೆಗಾಗಿ ಹೊಸ ಮನೆ.
"But before we can do that, we must pacify the enemies.","00:24:21,503 --> 00:24:26,508","ಆದರೆ ನಾವು ಅದನ್ನು ಮಾಡುವ ಮೊದಲು, ನಾವು ಶತ್ರುಗಳನ್ನು ಸಮಾಧಾನಪಡಿಸಬೇಕು."
Sali's attacks they become bolder and more frequent.,"00:24:28,510 --> 00:24:32,472",ಸಾಲಿಯ ದಾಳಿಗಳು ಅವರು ಧೈರ್ಯಶಾಲಿಗಳಾಗುತ್ತಾರೆ ಮತ್ತು ಹೆಚ್ಚು ಆಗಾಗ್ಗೆ ಆಗುತ್ತಾರೆ.
His attacks are well planned.,"00:24:32,514 --> 00:24:34,398",ಅವರ ದಾಳಿಯನ್ನು ಚೆನ್ನಾಗಿ ಯೋಜಿಸಲಾಗಿದೆ.
It has good coordination between of its ground and air troops.,"00:24:34,433 --> 00:24:37,352",ಇದು ನಡುವೆ ಉತ್ತಮ ಸಮನ್ವಯವನ್ನು ಹೊಂದಿದೆ ಅದರ ನೆಲ ಮತ್ತು ವಾಯು ಪಡೆಗಳು.
His troops they attack our remote places.,"00:24:37,519 --> 00:24:40,112",ಅವನ ಸೈನ್ಯ ಅವರು ನಮ್ಮ ದೂರದ ಸ್ಥಳಗಳ ಮೇಲೆ ದಾಳಿ ಮಾಡುತ್ತಾರೆ.
"Mines, pipelines, cutting our supply chain.","00:24:40,147 --> 00:24:43,400","ಗಣಿಗಳು, ಪೈಪ್‌ಲೈನ್‌ಗಳು, ನಮ್ಮ ಪೂರೈಕೆ ಸರಪಳಿಯನ್ನು ಕತ್ತರಿಸುವುದು."
They attacked the maglev two days ago.,"00:24:43,525 --> 00:24:47,487",ಅವರು ಎರಡು ದಿನಗಳ ಹಿಂದೆ ಮ್ಯಾಗ್ಲೆವ್ ಮೇಲೆ ದಾಳಿ ಮಾಡಿದರು.
Some information about Sally's operative base? -Yes. Show me the mountains.,"00:24:51,492 --> 00:24:56,497",ಸ್ಯಾಲಿಯ ಆಪರೇಟಿವ್ ಬಗ್ಗೆ ಕೆಲವು ಮಾಹಿತಿ ಬೇಸ್? -ಹೈಸ್. ಪರ್ವತಗಳನ್ನು ನನಗೆ ತೋರಿಸಿ.
It is a cave system in the Hallelujah Mountains somewhere.,"00:24:57,498 --> 00:25:00,501",ಇದು ಗುಹೆ ವ್ಯವಸ್ಥೆ ಹಲ್ಲೆಲುಜಾ ಪರ್ವತಗಳಲ್ಲಿ ಎಲ್ಲೋ.
"But every time we send ours troops up there, we are suffering losses.","00:25:02,503 --> 00:25:06,507","ಆದರೆ ಪ್ರತಿ ಬಾರಿ ನಾವು ನಮ್ಮನ್ನು ಕಳುಹಿಸುತ್ತೇವೆ ಅಲ್ಲಿ ಪಡೆಗಳು, ನಾವು ನಷ್ಟದಿಂದ ಬಳಲುತ್ತಿದ್ದೇವೆ."
Our machines dig up the hornet's nest.,"00:25:07,508 --> 00:25:10,511",ನಮ್ಮ ಯಂತ್ರಗಳು ಹಾರ್ನೆಟ್ ಗೂಡನ್ನು ಅಗೆಯುತ್ತವೆ.
After 10 minutes in the enemy airspace they overwhelm us.,"00:25:11,512 --> 00:25:15,516",ಶತ್ರುಗಳಲ್ಲಿ 10 ನಿಮಿಷಗಳ ನಂತರ ವಾಯುಪ್ರದೇಶ ಅವರು ನಮ್ಮನ್ನು ಮುಳುಗಿಸುತ್ತಾರೆ.
"Colonel, we believe yours will The blue team will be accepted as the home team","00:25:17,518 --> 00:25:21,438","ಕರ್ನಲ್, ನಿಮ್ಮದು ಎಂದು ನಾವು ನಂಬುತ್ತೇವೆ ನೀಲಿ ತಂಡವನ್ನು ಮನೆಯ ತಂಡವಾಗಿ ಸ್ವೀಕರಿಸಲಾಗುತ್ತದೆ"
and will not cause an immune response.,"00:25:21,480 --> 00:25:24,483",ಮತ್ತು ರೋಗನಿರೋಧಕ ಪ್ರತಿಕ್ರಿಯೆಗೆ ಕಾರಣವಾಗುವುದಿಲ್ಲ.
"And how can we test that hypothesis, general?","00:25:24,525 --> 00:25:27,486","ಮತ್ತು ನಾವು ಹೇಗೆ ಪರೀಕ್ಷಿಸಬಹುದು ಆ hyp ಹೆಯ, ಸಾಮಾನ್ಯ?"
In a hard way.,"00:25:28,487 --> 00:25:30,489",ಕಠಿಣ ರೀತಿಯಲ್ಲಿ.
Excellent.,"00:25:31,490 --> 00:25:33,492",ಅತ್ಯುತ್ತಮ.
We are entering the hostile air space. -I understand.,"00:25:46,505 --> 00:25:50,509",ನಾವು ಪ್ರತಿಕೂಲತೆಯನ್ನು ಪ್ರವೇಶಿಸುತ್ತಿದ್ದೇವೆ ವಾಯು ಸ್ಥಳ. -ನಾನು ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೇನೆ.
"Brother! - Come on, Monkey! - People, wait for me!","00:26:00,519 --> 00:26:03,480","ಸಹೋದರ! - ಬನ್ನಿ, ಮಂಕಿ! - ಜನರು, ನನಗಾಗಿ ಕಾಯಿರಿ!"
"Tuk, keep up. -OK OK.","00:26:40,517 --> 00:26:44,438","ತುಕ್, ಮುಂದುವರಿಸಿ. -ಒಕೆ ಸರಿ."
"Bro, why did you even take her?","00:26:44,479 --> 00:26:46,481","ಬ್ರೋ, ನೀವು ಅವಳನ್ನು ಏಕೆ ತೆಗೆದುಕೊಂಡಿದ್ದೀರಿ?"
"She is a real robber. Says, ""I will say. You must not go to the battlefield.""","00:26:46,523 --> 00:26:51,486","ಅವಳು ನಿಜವಾದ ದರೋಡೆಕೋರ. ಹೇಳುತ್ತಾರೆ, ""ನಾನು ಹೇಳುತ್ತೇನೆ. ನೀವು ಯುದ್ಧಭೂಮಿಗೆ ಹೋಗಬಾರದು."""
"""I'll tell mom if you don't take me."" - Don't tease her.","00:26:51,521 --> 00:26:54,364","""ನೀವು ನನ್ನನ್ನು ಕರೆದೊಯ್ಯದಿದ್ದರೆ ನಾನು ಅಮ್ಮನಿಗೆ ಹೇಳುತ್ತೇನೆ."" - ಅವಳನ್ನು ಕೀಟಲೆ ಮಾಡಬೇಡಿ."
Come on. - Crazy!,"00:26:56,533 --> 00:26:59,953",ಬನ್ನಿ. - ಕ್ರೇಜಿ!
"Are there any corpses up there? -Brother, look at this. Come on.","00:27:01,455 --> 00:27:04,124","ಅಲ್ಲಿ ಯಾವುದೇ ಶವಗಳು ಇದೆಯೇ? -ಆದ್ದರಿಂದ, ಇದನ್ನು ನೋಡಿ. ಬನ್ನಿ."
Fuck it.,"00:27:49,002 --> 00:27:50,512",ಅದನ್ನು ಫಕ್ ಮಾಡಿ.
Curry? Kiri.,"00:28:00,514 --> 00:28:03,517",ಕರಿ? ಕಿರಿ.
Kiri... Kiri.,"00:28:06,520 --> 00:28:08,480",ಕಿರಿ ... ಕಿರಿ.
Kiri.,"00:28:10,190 --> 00:28:11,775",ಕಿರಿ.
"Are you OK? - I did that again, didn't I?","00:28:15,487 --> 00:28:19,491","ನೀವು ಸರಿಯಾಗಿದ್ದೀರಾ? - ನಾನು ಅದನ್ನು ಮತ್ತೆ ಮಾಡಿದ್ದೇನೆ, ಅಲ್ಲವೇ?"
Yes you are.,"00:28:19,526 --> 00:28:21,493",ಹೌದು ನೀವು.
Kiri! - Kiri!,"00:28:22,494 --> 00:28:24,461",ಕಿರಿ! - ಕಿರಿ!
"Kiri, we have to go back. -Okay, come on.","00:28:24,496 --> 00:28:26,498","ಕಿರಿ, ನಾವು ಹಿಂತಿರುಗಬೇಕಾಗಿದೆ. -ಒಕೆ, ಬನ್ನಿ."
What is that?,"00:28:32,379 --> 00:28:34,339",ಅದು ಏನು?
We should always be at home before the eclipse.,"00:28:34,381 --> 00:28:37,384",ನಾವು ಯಾವಾಗಲೂ ಇರಬೇಕು ಎಕ್ಲಿಪ್ಸ್ ಮೊದಲು ಮನೆಯಲ್ಲಿ.