en_dialogue,Timeline,telugu_dialogue
And with our training...,"00:16:12,973 --> 00:16:15,017",మరియు మా శిక్షణతో ...
It's a pretty potent mix.,"00:16:15,392 --> 00:16:17,227",ఇది చాలా శక్తివంతమైన మిక్స్.
Did we get the assignment yet? -You bet.,"00:16:18,812 --> 00:16:21,315",మాకు ఇంకా అసైన్‌మెంట్ వచ్చిందా? - మీరు పందెం వేయండి.
Our task is to find and kill,"00:16:22,107 --> 00:16:24,443",వెతికి చంపడమే మా పని
the leader of the Na'vi rebels.,"00:16:24,985 --> 00:16:27,446",నవీ తిరుగుబాటుదారుల నాయకుడు.
The one they call Toruk Makto.,"00:16:27,946 --> 00:16:30,824",వారు టోరుక్ మక్టో అని పిలుస్తారు.
Jake Sully. -That!,"00:16:31,742 --> 00:16:33,285",జేక్ సుల్లీ. -అది!
"Attack, attack!","00:16:41,877 --> 00:16:43,670","దాడి, దాడి!"
You're mine!,"00:16:44,004 --> 00:16:45,547",నువ్వు నావి!
Knock! Come on!,"00:16:45,756 --> 00:16:47,299",కొట్టు! రా!
I'm definitely faster when I'm blue. -You idiot. -Not seriously.,"00:16:47,716 --> 00:16:51,053",నేను నీలం రంగులో ఉన్నప్పుడు నేను ఖచ్చితంగా వేగంగా ఉంటాను. - మూర్ఖుడు. - సీరియస్‌గా కాదు.
And animals respect me more. They don't see me as a man.,"00:16:51,345 --> 00:16:54,264",మరియు జంతువులు నన్ను ఎక్కువగా గౌరవిస్తాయి. వాళ్ళు నన్ను మనిషిగా చూడరు.
Stop. You are a man?,"00:16:54,389 --> 00:16:56,266",ఆపు. నువ్వు మనిషివా?
They're coming!,"00:17:06,610 --> 00:17:08,120",వారు వస్తున్నారు!
"HIGH CAMP, OMATIKAY STREET","00:17:08,153 --> 00:17:11,281","హై క్యాంప్, ఒమాటికే స్ట్రీట్"
"They're coming! Run, Spider!","00:17:12,574 --> 00:17:14,576","వారు వస్తున్నారు! పరుగు, స్పైడర్!"
The warband is back!,"00:17:14,952 --> 00:17:16,912",వార్‌బ్యాండ్ తిరిగి వచ్చింది!
Come on. -Here we go. Come on.,"00:17:16,995 --> 00:17:19,665",రండి. -ఇదిగో మనం. రండి.
"Mum! - Tuk... -Mum. - Knock, Knock.","00:17:34,304 --> 00:17:37,349","అమ్మా! - తుక్... -అమ్మ. - కొట్టు, కొట్టు."
Choir!,"00:17:39,518 --> 00:17:41,028",బృందగానం!
You should be scouts.,"00:17:43,063 --> 00:17:44,606",మీరు స్కౌట్స్ అయి ఉండాలి.
"Notice the enemies, and report.","00:17:44,648 --> 00:17:46,142","శత్రువులను గమనించండి, మరియు నివేదిక."
From afar!,"00:17:46,143 --> 00:17:47,653",దూరం నుండి!
Does any of this sound familiar? Come here!,"00:17:47,985 --> 00:17:50,028",వీటిలో ఏదైనా తెలిసి ఉందా? ఇక్కడికి రా!
"Jesus. I'll give it to you two geniuses to complete the task,","00:17:50,362 --> 00:17:52,489","యేసు. నేను మీ ఇద్దరికీ ఇస్తాను పనిని పూర్తి చేయడానికి మేధావులు,"
and you disobey a direct order.,"00:17:52,573 --> 00:17:54,083",మరియు మీరు ప్రత్యక్ష ఆదేశానికి అవిధేయత చూపుతారు.
"Kiri, can you help grandma around the wounded? Please?","00:17:54,867 --> 00:17:57,703","కిరీ, నువ్వు బామ్మకి సహాయం చేయగలవా గాయపడిన వారి చుట్టూ? దయచేసి?"
"My brother is wounded. -It's fine. - Tuk, go with her. Come on. -Dad.","00:17:57,786 --> 00:18:01,540","నా సోదరుడు గాయపడ్డాడు. -ఇది బాగానే ఉంది. - తుక్, ఆమెతో వెళ్ళు. రండి. -నాన్న."
"Sir. I take full responsibility. - Yes, you take over. That's right.","00:18:01,790 --> 00:18:05,377","సర్. నేను పూర్తి బాధ్యత తీసుకుంటాను. - అవును, మీరు స్వాధీనం చేసుకోండి. అది నిజమే."
Because you are the older brother. You have to act accordingly.,"00:18:06,044 --> 00:18:08,380",ఎందుకంటే నువ్వు అన్నయ్యవి. దానికి అనుగుణంగా నడుచుకోవాలి.
MaJake.,"00:18:09,464 --> 00:18:11,049",మాజేక్.
"Your son is really bleeding. - Mother, it's okay. I...","00:18:11,175 --> 00:18:15,095","మీ కొడుకు నిజంగా రక్తస్రావం అవుతున్నాడు. - అమ్మా, ఫర్వాలేదు. నేను..."
"Go get it patched. Come on, willingly.","00:18:16,597 --> 00:18:18,724",దాన్ని అతుక్కోండి. ఇష్టపూర్వకంగా రండి.
You realize it's because of you your brother almost died.,"00:18:24,188 --> 00:18:27,107",ఇది మీ వల్ల అని మీరు గ్రహించారు మీ సోదరుడు దాదాపు చనిపోయాడు.
Yes sir.,"00:18:27,608 --> 00:18:29,118",అవును సార్.
You are punished. You are banned from flying for a month.,"00:18:30,819 --> 00:18:32,988",మీరు శిక్షించబడ్డారు. మీరు ఒక నెల పాటు ప్రయాణించకుండా నిషేధించబడ్డారు.
Take care of the spawn. For all of them. -Yes sir.,"00:18:33,405 --> 00:18:36,200",స్పాన్ యొక్క శ్రద్ధ వహించండి. వారందరికీ. -అవును సార్.
And get that shit off your face.,"00:18:36,283 --> 00:18:37,793",మరియు ఆ ఒంటిని మీ ముఖం నుండి తీసివేయండి.
You want a kiss on the scratch? - Give him this. -Okay.,"00:18:47,920 --> 00:18:49,922",మీకు స్క్రాచ్‌పై ముద్దు కావాలా? - ఇది అతనికి ఇవ్వండి. -సరే.
"I would use yala bark. - Here, drink. -Really? And who is Tsahik?","00:18:49,963 --> 00:18:54,593","నేను యాలాల బెరడు ఉపయోగిస్తాను. - ఇక్కడ, త్రాగండి. -నిజంగా? మరి సాహిక్ ఎవరు?"
You are... Move.,"00:18:55,469 --> 00:18:56,979",మీరు... తరలించు.
"you are, grandma, but the bark is better.","00:18:57,137 --> 00:18:59,890","మీరు, అమ్మమ్మ, కానీ బెరడు మంచిది."
It burns less.,"00:19:02,059 --> 00:19:03,569",ఇది తక్కువ మండుతుంది.
A mighty warrior.,"00:19:04,102 --> 00:19:05,612",ఒక పరాక్రమ యోధుడు.
What is it?,"00:19:13,028 --> 00:19:14,538",ఇది ఏమిటి?
Netejam and Lo'ak look up to you.,"00:19:16,615 --> 00:19:19,535",Netejam మరియు Lo'ak మీ కోసం ఎదురు చూస్తున్నారు.
It was hard for them.,"00:19:20,577 --> 00:19:22,454",అది వారికి కష్టమైంది.
I know.,"00:19:23,622 --> 00:19:25,132",నాకు తెలుసు.
You are very strict with them.,"00:19:26,917 --> 00:19:28,794",మీరు వారితో చాలా కఠినంగా ఉంటారు.
I am their father. That's my job.,"00:19:32,089 --> 00:19:34,007",నేను వాళ్ల నాన్నను. అది నా పని.
This is not a unit. This is family.,"00:19:35,467 --> 00:19:38,262",ఇది యూనిట్ కాదు. ఇది కుటుంబం.
I thought we were out of them.,"00:19:49,898 --> 00:19:51,608",మేము వాటి నుండి బయటపడ్డామని నేను అనుకున్నాను.
Hey buddy. How's it going? - Spiders.,"00:20:00,742 --> 00:20:02,578",హే మిత్రమా. ఎలా జరుగుతోంది? - సాలెపురుగులు.
Your face is mine.,"00:20:03,328 --> 00:20:04,838",నీ ముఖం నాది.
I'm here.,"00:20:04,872 --> 00:20:06,382",నేను ఇక్కడ ఉన్నాను.
Only for avatars. Go around!,"00:20:06,498 --> 00:20:08,375",అవతార్‌ల కోసం మాత్రమే. చుట్టూ తిరగండి!
Sorry.,"00:20:08,834 --> 00:20:10,293",క్షమించండి.
Yes. Those blue stripes they don't make you bigger bro.,"00:20:10,294 --> 00:20:12,754",అవును. ఆ నీలి గీతలు అవి నిన్ను పెద్దవిగా చేయవు సోదరా.
"Yes, I can still beat you up.","00:20:13,338 --> 00:20:14,882","అవును, నేను ఇంకా నిన్ను కొట్టగలను."
What a day. - Long.,"00:20:18,719 --> 00:20:20,429",ఏ రోజు. - పొడవైన.
"Really hilarious, folks. But you know what's really horrible?","00:20:23,599 --> 00:20:26,518","నిజంగా ఉల్లాసంగా ఉంది, జనాలు. అయితే అసలు భయంకరమైన విషయం ఏంటో తెలుసా?"
"You can breathe earth air for hours,","00:20:26,553 --> 00:20:28,312","మీరు ఊపిరి పీల్చుకోవచ్చు గంటల తరబడి భూమి గాలి,"
and I can inhale yours air for ten seconds.,"00:20:28,687 --> 00:20:31,023",మరియు నేను మీ శ్వాస పీల్చుకోగలను పది సెకన్లపాటు గాలి.
"Yes, Monkey, that's really awful.","00:20:31,064 --> 00:20:33,317","అవును, కోతి, ఇది నిజంగా భయంకరం."
For you.,"00:20:33,734 --> 00:20:35,244",మీ కోసం.
"Bye, Max. - Hi, kids.","00:20:41,700 --> 00:20:43,194","బై, మాక్స్. - హాయ్, పిల్లలు."
"Bye. What's up, Max?","00:20:43,195 --> 00:20:44,654","బై. ఏమైంది, మాక్స్?"
"What's up, Norm?","00:20:44,655 --> 00:20:46,165","ఏమిటి, నార్మ్?"
Hi Mom.,"00:20:51,460 --> 00:20:53,003",నమస్కారం అమ్మ.
Maybe I'm just going crazy here but I see actual proof,"00:21:03,055 --> 00:21:07,142",బహుశా నేను ఇక్కడ పిచ్చివాడిగా ఉన్నాను కానీ నేను నిజమైన రుజువును చూస్తున్నాను
systematic response on a global level.,"00:21:07,476 --> 00:21:11,522",క్రమబద్ధమైన ప్రతిస్పందన ప్రపంచ స్థాయిలో.
Can not...,"00:21:12,022 --> 00:21:13,532",కుదరదు...
"I will not use the term ""intelligence."" It is...","00:21:14,274 --> 00:21:17,069","నేను ""ఇంటెలిజెన్స్"" అనే పదాన్ని ఉపయోగించను. ఇది..."
"Perhaps ""awareness"" is a better word. 2 3 4 00:21:21,406 --> 00:21:26,537 It's like she's whole biosphere Pandora conscious",,
and capable of such cognitive reaction.,"00:21:26,954 --> 00:21:30,207",మరియు అలాంటి సామర్థ్యం అభిజ్ఞా ప్రతిచర్య.
"Shit, I can't say that.","00:21:32,334 --> 00:21:34,211","షిట్, నేను చెప్పలేను."
He will crucify me.,"00:21:34,419 --> 00:21:35,929",ఆయన నన్ను సిలువ వేస్తాడు.
I must say...,"00:21:36,088 --> 00:21:37,547",తప్పక చెప్పాలి...
Who do you think pumped her up?,"00:21:37,548 --> 00:21:40,474",ఆమెను ఎవరు పెంచారని మీరు అనుకుంటున్నారు?
I'm pretty sure it was Norm. -100%.,"00:21:40,509 --> 00:21:44,471",ఇది సాధారణమని నేను ఖచ్చితంగా అనుకుంటున్నాను. -100%.
You two don't deserve to live. -No no. Think about that.,"00:21:44,513 --> 00:21:47,474",మీ ఇద్దరికీ జీవించే అర్హత లేదు. - లేదు లేదు. దాని గురించి ఆలోచించండి.
He is the teacher's pet. He is always with her in the laboratory.,"00:21:47,516 --> 00:21:50,477",అతను ఉపాధ్యాయుని పెంపుడు జంతువు. ప్రయోగశాలలో ఎప్పుడూ ఆమెతోనే ఉంటాడు.
I would kill myself. I would drink acid.,"00:21:50,519 --> 00:21:54,481",నేనే చంపుకుంటాను. నేను యాసిడ్ తాగుతాను.
"Bro, you are right. He is on everyone recording. Brother, look how he's looking at her.","00:21:54,523 --> 00:21:59,486","బ్రో, మీరు చెప్పింది నిజమే. అతను అందరిపై ఉన్నాడు రికార్డింగ్. సోదరా, అతను ఆమెను ఎలా చూస్తున్నాడో చూడు."
"I mean, their two avatars they were in the forest alone...","00:22:00,529 --> 00:22:05,075","నా ఉద్దేశ్యం, వారి రెండు అవతారాలు వారు ఒంటరిగా అడవిలో ఉన్నారు ..."
Bullshit! - People.,"00:22:05,117 --> 00:22:07,417",బుల్ షిట్! - ప్రజలు.
Sometimes it's not so great know who your father is.,"00:22:07,452 --> 00:22:10,497",కొన్నిసార్లు ఇది చాలా గొప్పది కాదు నీ తండ్రి ఎవరో తెలుసు.
No preference. I don't even remember him.,"00:22:15,502 --> 00:22:18,463",ప్రాధాన్యత లేదు. నాకు ఆయన గుర్తు కూడా లేదు.
"No, Spider. - Mate.","00:22:18,505 --> 00:22:20,465","లేదు, స్పైడర్. - సహచరుడు."
Spiders...,"00:22:20,507 --> 00:22:23,510",సాలెపురుగులు...
You are not him.,"00:22:23,545 --> 00:22:26,513",నువ్వు ఆయనవి కావు.
BRIDGEHEAD CITY,"00:22:34,479 --> 00:22:37,482",బ్రిడ్జ్ హెడ్ సిటీ
Go! Straight to the terminal.,"00:23:05,511 --> 00:23:08,472",వెళ్ళు! నేరుగా టెర్మినల్‌కి.
Don't stop you!,"00:23:08,514 --> 00:23:11,517",నిన్ను ఆపకు!
Take off the masks.,"00:23:14,520 --> 00:23:16,480",ముసుగులు తీయండి.
"Sir, this is the general.","00:23:20,484 --> 00:23:23,487","సార్, ఇది జనరల్."
General Ardmore.,"00:23:32,496 --> 00:23:34,006",జనరల్ ఆర్డ్‌మోర్.
"I'm glad, Colonel. I've heard good things,","00:23:34,498 --> 00:23:38,460","నేను సంతోషిస్తున్నాను, కల్నల్. నేను మంచి విషయాలు విన్నాను,"
but a lot has changed since your last service here.,"00:23:38,502 --> 00:23:41,213",కానీ చాలా మారిపోయింది ఇక్కడ మీ చివరి సేవ నుండి.
Take a walk with me.,"00:23:41,248 --> 00:23:42,758",నాతో నడవండి.
The new operations center is here. It just worked.,"00:23:45,509 --> 00:23:49,471",కొత్త కార్యాచరణ కేంద్రం ఇక్కడ ఉంది. ఇది కేవలం పని చేసింది.
These editors can build a building in 6 days.,"00:23:49,513 --> 00:23:53,475",ఈ సంపాదకులు చేయగలరు 6 రోజుల్లో భవనాన్ని నిర్మించాలి.
We have done more in a year than for the previous 30.,"00:23:53,517 --> 00:23:58,438",మేము ఒక సంవత్సరంలో ఎక్కువ చేసాము మునుపటి 30 కంటే.
"We're not here to run a mine, Colonel.","00:23:58,522 --> 00:24:00,691","మేము గనిని నడపడానికి ఇక్కడ లేము, కల్నల్."
As a planetary commander I have a more important mission.,"00:24:01,191 --> 00:24:04,528",గ్రహ కమాండర్‌గా నాకు మరింత ముఖ్యమైన మిషన్ ఉంది.
The earth is dying.,"00:24:09,491 --> 00:24:11,458",భూమి చచ్చిపోతోంది.
Our task is to subdue this wilderness.,"00:24:11,493 --> 00:24:15,462",మన కర్తవ్యం ఈ అరణ్యాన్ని అణచివేయడానికి.
The goal is to make Pandora a new home for humanity.,"00:24:15,497 --> 00:24:20,502",పండోరను తయారు చేయడమే లక్ష్యం మానవాళికి కొత్త ఇల్లు.
"But before we can do that, we must pacify the enemies.","00:24:21,503 --> 00:24:26,508","కానీ మనం అలా చేసే ముందు, మేము శత్రువులను శాంతింపజేయాలి."
Sali's attacks they become bolder and more frequent.,"00:24:28,510 --> 00:24:32,472",సాలి దాడులు వారు ధైర్యంగా మరియు మరింత తరచుగా మారతారు.
His attacks are well planned.,"00:24:32,514 --> 00:24:34,398",అతని దాడులు పక్కా ప్రణాళికతో ఉంటాయి.
It has good coordination between of its ground and air troops.,"00:24:34,433 --> 00:24:37,352",దీని మధ్య మంచి సమన్వయం ఉంది దాని నేల మరియు వైమానిక దళాలు.
His troops they attack our remote places.,"00:24:37,519 --> 00:24:40,112",అతని దళాలు వారు మన మారుమూల ప్రాంతాలపై దాడి చేస్తారు.
"Mines, pipelines, cutting our supply chain.","00:24:40,147 --> 00:24:43,400","గనులు, పైపులైన్లు, మా సరఫరా గొలుసును కత్తిరించడం."
They attacked the maglev two days ago.,"00:24:43,525 --> 00:24:47,487",వారు రెండు రోజుల క్రితం మాగ్లెవ్‌పై దాడి చేశారు.
Some information about Sally's operative base? -Yes. Show me the mountains.,"00:24:51,492 --> 00:24:56,497",సాలీ యొక్క కార్యకర్త గురించి కొంత సమాచారం ఆధారమా? -అవును. నాకు పర్వతాలు చూపించు.
It is a cave system in the Hallelujah Mountains somewhere.,"00:24:57,498 --> 00:25:00,501",ఇది ఒక గుహ వ్యవస్థ ఎక్కడో హల్లెలూయా పర్వతాలలో.
"But every time we send ours troops up there, we are suffering losses.","00:25:02,503 --> 00:25:06,507","కానీ ప్రతిసారీ మేము మాది పంపుతాము అక్కడ ఉన్న దళాలు, మేము నష్టపోతున్నాము."
Our machines dig up the hornet's nest.,"00:25:07,508 --> 00:25:10,511",మా యంత్రాలు హార్నెట్ గూడును తవ్వుతాయి.
After 10 minutes in the enemy airspace they overwhelm us.,"00:25:11,512 --> 00:25:15,516",శత్రువులో 10 నిమిషాల తర్వాత గగనతలం అవి మనల్ని ముంచెత్తుతాయి.
"Colonel, we believe yours will The blue team will be accepted as the home team","00:25:17,518 --> 00:25:21,438","కల్నల్, మీ ఇష్టం అని మేము నమ్ముతున్నాము బ్లూ టీమ్ హోమ్ టీమ్‌గా అంగీకరించబడుతుంది"
and will not cause an immune response.,"00:25:21,480 --> 00:25:24,483",మరియు రోగనిరోధక ప్రతిస్పందనకు కారణం కాదు.
"And how can we test that hypothesis, general?","00:25:24,525 --> 00:25:27,486","మరియు మేము ఎలా పరీక్షించగలము ఆ పరికల్పన, సాధారణ?"
In a hard way.,"00:25:28,487 --> 00:25:30,489",కఠినమైన మార్గంలో.
Excellent.,"00:25:31,490 --> 00:25:33,492",అద్భుతమైన.
We are entering the hostile air space. -I understand.,"00:25:46,505 --> 00:25:50,509",మేము శత్రుత్వంలోకి ప్రవేశిస్తున్నాము గాలి స్థలం. - నాకు అర్థమైంది.
"Brother! - Come on, Monkey! - People, wait for me!","00:26:00,519 --> 00:26:03,480","సోదరా! - రండి, కోతి! - ప్రజలారా, నా కోసం వేచి ఉండండి!"
"Tuk, keep up. -OK OK.","00:26:40,517 --> 00:26:44,438","తుక్, కొనసాగించు. - సరే సరే."
"Bro, why did you even take her?","00:26:44,479 --> 00:26:46,481","సోదరా, మీరు ఆమెను ఎందుకు తీసుకెళ్లారు?"
"She is a real robber. Says, ""I will say. You must not go to the battlefield.""","00:26:46,523 --> 00:26:51,486","ఆమె నిజమైన దొంగ. చెప్పారు, ""చెప్తాను. నువ్వు యుద్ధభూమికి వెళ్ళకూడదు."""
"""I'll tell mom if you don't take me."" - Don't tease her.","00:26:51,521 --> 00:26:54,364","""నన్ను తీసుకోకపోతే అమ్మతో చెప్తాను."" - ఆమెను ఆటపట్టించవద్దు."
Come on. - Crazy!,"00:26:56,533 --> 00:26:59,953",రండి. - వెర్రి!
"Are there any corpses up there? -Brother, look at this. Come on.","00:27:01,455 --> 00:27:04,124","అక్కడ శవాలు ఏమైనా ఉన్నాయా? - సోదరుడు, ఇది చూడు. రండి."
Fuck it.,"00:27:49,002 --> 00:27:50,512",ఫక్ ఇట్.
Curry? Kiri.,"00:28:00,514 --> 00:28:03,517",కూర? కిరి.
Kiri... Kiri.,"00:28:06,520 --> 00:28:08,480",కిరీ... కిరీ.
Kiri.,"00:28:10,190 --> 00:28:11,775",కిరి.
"Are you OK? - I did that again, didn't I?","00:28:15,487 --> 00:28:19,491","మీరు బాగున్నారా? - నేను మళ్ళీ చేసాను, కాదా?"
Yes you are.,"00:28:19,526 --> 00:28:21,493",అవును నువ్వే.
Kiri! - Kiri!,"00:28:22,494 --> 00:28:24,461",కిరీ! - కిరీ!
"Kiri, we have to go back. -Okay, come on.","00:28:24,496 --> 00:28:26,498","కిరీ, మనం వెనక్కి వెళ్ళాలి. - సరే, రండి."
What is that?,"00:28:32,379 --> 00:28:34,339",అది ఏమిటి?
We should always be at home before the eclipse.,"00:28:34,381 --> 00:28:37,384",మనం ఎప్పుడూ ఉండాలి గ్రహణం ముందు ఇంట్లో.